index_group,index_name,index_date,last_update_date,high,low,close,pe_ratio,pb_ratio,dividend_yield,
BSE,BSE:MidCap,30-Aug-2017,04-Dec-24,15525.21,15306.24,15505.84,30.75,2.75,1.19,
BSE,BSE:MidCap,29-Aug-2017,04-Dec-24,15428.24,15259.63,15277.65,30.25,2.71,1.21,
BSE,BSE:MidCap,28-Aug-2017,04-Dec-24,15426.24,15283.86,15407.92,30.57,2.74,1.19,
BSE,BSE:MidCap,24-Aug-2017,04-Dec-24,15266.96,15134.38,15252.10,30.18,2.70,1.21,
BSE,BSE:MidCap,23-Aug-2017,04-Dec-24,15148.74,14970.92,15131.38,29.94,2.68,1.21,
BSE,BSE:MidCap,22-Aug-2017,04-Dec-24,15124.59,14889.70,14925.89,29.51,2.64,1.23,
BSE,BSE:MidCap,21-Aug-2017,04-Dec-24,15304.11,14959.07,14987.43,29.65,2.66,1.22,
BSE,BSE:MidCap,18-Aug-2017,04-Dec-24,15243.39,15084.93,15208.46,30.12,2.70,1.20,
BSE,BSE:MidCap,17-Aug-2017,04-Dec-24,15406.63,15207.20,15228.52,30.16,2.70,1.20,
BSE,BSE:MidCap,16-Aug-2017,04-Dec-24,15299.50,15068.80,15282.34,30.12,2.70,1.20,
BSE,BSE:MidCap,14-Aug-2017,04-Dec-24,15110.69,14782.33,15092.62,29.99,2.68,1.21,
BSE,BSE:MidCap,11-Aug-2017,04-Dec-24,14896.74,14484.70,14726.27,28.97,2.60,1.25,
BSE,BSE:MidCap,10-Aug-2017,04-Dec-24,15138.29,14576.83,14755.85,29.36,2.61,1.25,
BSE,BSE:MidCap,09-Aug-2017,04-Dec-24,15377.29,15107.55,15156.67,30.23,2.69,1.21,
BSE,BSE:MidCap,08-Aug-2017,04-Dec-24,15642.07,15357.80,15413.15,30.68,2.73,1.19,
BSE,BSE:MidCap,07-Aug-2017,04-Dec-24,15631.85,15476.50,15600.27,31.05,2.76,1.18,
BSE,BSE:MidCap,04-Aug-2017,04-Dec-24,15478.21,15251.46,15436.95,30.83,2.74,1.19,
BSE,BSE:MidCap,03-Aug-2017,04-Dec-24,15469.98,15307.07,15335.12,30.69,2.74,1.19,
BSE,BSE:MidCap,02-Aug-2017,04-Dec-24,15490.75,15366.92,15411.96,30.72,2.75,1.18,
BSE,BSE:MidCap,31-Jul-2017,04-Dec-24,15401.86,15322.07,15389.57,30.39,2.73,1.19,
BSE,BSE:MidCap,28-Jul-2017,04-Dec-24,15342.45,15201.52,15329.56,30.45,2.72,1.19,
BSE,BSE:MidCap,27-Jul-2017,04-Dec-24,15441.01,15235.05,15255.66,30.43,2.71,1.20,
BSE,BSE:MidCap,26-Jul-2017,04-Dec-24,15405.89,15314.46,15339.76,30.41,2.72,1.20,
BSE,BSE:MidCap,25-Jul-2017,04-Dec-24,15322.65,15230.38,15312.60,30.51,2.71,1.20,
BSE,BSE:MidCap,24-Jul-2017,04-Dec-24,15264.89,15190.20,15226.41,30.34,2.70,1.20,
BSE,BSE:MidCap,21-Jul-2017,04-Dec-24,15235.27,15075.99,15185.53,30.27,2.69,1.21,
BSE,BSE:MidCap,20-Jul-2017,04-Dec-24,15275.91,15161.49,15179.27,30.27,2.68,1.21,
BSE,BSE:MidCap,19-Jul-2017,04-Dec-24,15268.69,15144.21,15258.83,30.50,2.70,1.20,
BSE,BSE:MidCap,18-Jul-2017,04-Dec-24,15233.09,15086.44,15106.85,30.16,2.67,1.22,
BSE,BSE:MidCap,17-Jul-2017,04-Dec-24,15247.90,15155.84,15197.45,30.31,2.69,1.21,
BSE,BSE:MidCap,14-Jul-2017,04-Dec-24,15212.10,15087.86,15187.41,30.32,2.69,1.21,
BSE,BSE:MidCap,13-Jul-2017,04-Dec-24,15206.41,15126.84,15153.54,30.33,2.69,1.21,
BSE,BSE:MidCap,12-Jul-2017,04-Dec-24,15093.96,14954.13,15084.34,32.08,2.67,1.22,
BSE,BSE:MidCap,11-Jul-2017,04-Dec-24,15098.58,14910.06,14923.06,31.80,2.65,1.23,
BSE,BSE:MidCap,10-Jul-2017,04-Dec-24,15055.24,14980.89,15041.54,32.06,2.67,1.22,
BSE,BSE:MidCap,07-Jul-2017,04-Dec-24,14985.51,14914.04,14941.77,31.90,2.65,1.22,
BSE,BSE:MidCap,06-Jul-2017,04-Dec-24,15010.00,14926.45,14947.35,31.82,2.65,1.22,
BSE,BSE:MidCap,05-Jul-2017,04-Dec-24,14921.78,14770.00,14901.99,31.76,2.64,1.23,
BSE,BSE:MidCap,04-Jul-2017,04-Dec-24,14890.13,14729.39,14758.84,31.27,2.58,1.23,
BSE,BSE:MidCap,30-Jun-2017,04-Dec-24,14661.40,14485.75,14644.48,31.02,2.56,1.28,
BSE,BSE:MidCap,29-Jun-2017,04-Dec-24,14628.48,14535.40,14552.49,30.87,2.55,1.29,
BSE,BSE:MidCap,28-Jun-2017,04-Dec-24,14541.29,14404.55,14502.69,30.69,2.53,1.30,
BSE,BSE:MidCap,27-Jun-2017,04-Dec-24,14630.83,14375.65,14468.88,30.73,2.54,1.26,
BSE,BSE:MidCap,23-Jun-2017,04-Dec-24,14801.86,14508.79,14583.81,31.01,2.56,1.23,
BSE,BSE:MidCap,22-Jun-2017,04-Dec-24,14942.82,14739.89,14763.07,31.40,2.59,1.22,
BSE,BSE:MidCap,21-Jun-2017,04-Dec-24,14880.85,14819.76,14850.74,31.50,2.60,1.23,
BSE,BSE:MidCap,20-Jun-2017,04-Dec-24,14898.10,14826.33,14845.29,31.54,2.60,1.23,
BSE,BSE:MidCap,19-Jun-2017,04-Dec-24,14886.82,14805.32,14817.74,31.52,2.60,1.23,
